producto_id,stock,precio
289,444.0,1126
290,339.0,507
291,475.0,1560
292,383.0,1467
293,459.0,839
294,437.0,1787
295,112.0,1767
296,207.0,1472
297,266.0,575
298,437.0,750
299,236.0,294
300,7.0,1705
301,348.0,664
302,113.0,1823
303,427.0,1869
304,52.0,343
305,431.0,1480
306,456.0,1999
307,36.0,11
308,26.0,1567
309,149.0,653
310,478.0,369
311,491.0,153
312,110.0,587
313,481.0,299
314,374.0,1277
315,494.0,1845
316,16.0,1999
317,458.0,259
318,301.0,171
319,427.0,1578
320,246.0,1317
321,331.0,1031
322,224.0,144
323,263.0,553
324,9.0,724
325,428.0,444
326,402.0,1745
327,441.0,1075
328,18.0,1814
329,1.0,1657
330,374.0,555
331,143.0,711
332,375.0,1564
333,207.0,403
334,416.0,1714
335,289.0,1830
336,453.0,1682
337,320.0,579
338,67.0,1802
339,385.0,150
340,473.0,1672
341,302.0,915
342,293.0,1423
343,129.0,17
344,319.0,1331
345,53.0,1142
346,386.0,1581
347,337.0,1917
348,460.0,1819
349,245.0,1493
350,459.0,1599
351,71.0,1673
352,60.0,1838
353,464.0,359
354,225.0,605
355,327.0,1661
356,312.0,826
357,469.0,745
358,392.0,1737
359,396.0,1757
360,434.0,765
361,391.0,1281
362,378.0,992
363,492.0,562
364,390.0,975
365,316.0,546
366,281.0,574
367,423.0,1587
368,486.0,743
369,139.0,1298
370,308.0,136
371,324.0,1240
372,67.0,878
373,212.0,792
374,143.0,870
375,124.0,1979
376,333.0,1323
377,341.0,1423
378,391.0,1181
379,474.0,1807
380,337.0,673
381,274.0,1746
382,217.0,778
383,401.0,655
384,391.0,389
385,416.0,441
386,111.0,1896
387,241.0,1981
388,273.0,1831
389,203.0,252
390,418.0,1796
391,366.0,235
392,24.0,1965
393,59.0,1323
394,366.0,1822
395,267.0,1773
396,208.0,1306
397,188.0,678
398,437.0,185
399,335.0,778
400,472.0,1143
401,314.0,1513
402,391.0,1827
403,231.0,691
404,186.0,1643
405,38.0,1267
406,271.0,901
407,143.0,271
408,191.0,349
409,387.0,663
410,56.0,1777
411,360.0,1920
412,134.0,753
413,216.0,1976
414,433.0,1983
415,469.0,78
416,455.0,1186
417,87.0,1074
418,211.0,723
419,405.0,642
420,462.0,869
421,110.0,620
422,191.0,1201
423,224.0,752
424,400.0,311
425,278.0,1612
426,88.0,460
427,289.0,462
428,266.0,1057
429,483.0,1547
430,287.0,1086
431,146.0,1708
432,215.0,1332
433,102.0,1974
434,423.0,212
435,454.0,1754
436,301.0,1319
437,240.0,1392
438,125.0,1490
439,188.0,1100
440,220.0,672
441,97.0,365
442,377.0,881
443,455.0,864
444,66.0,961
445,416.0,492
446,31.0,1690
447,65.0,1178
448,87.0,583
449,119.0,1523
450,429.0,1740
451,259.0,1457
452,421.0,252
453,111.0,968
454,488.0,1885
455,134.0,742
456,99.0,1055
457,4.0,921
458,105.0,1668
459,370.0,1710
460,120.0,906
461,138.0,1365
462,174.0,1937
463,269.0,1584
464,87.0,1929
465,397.0,1244
466,268.0,599
467,313.0,1167
468,225.0,1366
469,14.0,633
470,273.0,230
471,330.0,1518
472,66.0,1123
473,402.0,1305
474,442.0,1969
475,105.0,1813
476,311.0,1290
477,342.0,488
478,286.0,446
479,359.0,22
480,333.0,587
481,491.0,904
482,111.0,1784
483,115.0,296
484,79.0,78
485,254.0,820
486,223.0,324
487,473.0,1288
488,204.0,376
489,370.0,302
490,332.0,14
491,96.0,917
492,206.0,501
493,294.0,1087
494,382.0,1382
495,107.0,455
496,98.0,393
497,2.0,901
498,9.0,539
499,295.0,1466
500,39.0,1730
501,16.0,1422
502,247.0,1234
503,460.0,873
504,211.0,1086
505,270.0,662
506,483.0,743
507,225.0,1223
508,260.0,233
509,284.0,341
510,31.0,1251
511,232.0,966
512,215.0,584
513,131.0,1454
514,225.0,405
515,319.0,139
516,449.0,903
517,241.0,1790
518,50.0,287
519,111.0,1256
520,421.0,1758
521,118.0,1452
522,292.0,473
523,442.0,1897
524,152.0,1555
525,121.0,1926
526,146.0,1623
527,305.0,337
528,225.0,1901
529,68.0,1478
530,289.0,1433
531,286.0,1063
532,327.0,694
533,42.0,588
534,283.0,672
535,151.0,58
536,283.0,161
537,93.0,421
538,205.0,170
539,163.0,498
540,10.0,421
541,348.0,742
542,40.0,1725
543,146.0,581
544,490.0,984
545,259.0,940
546,57.0,1993
547,236.0,1765
548,142.0,1504
549,244.0,74
550,187.0,1744
551,386.0,1631
552,390.0,1056
553,158.0,270
554,66.0,1000
555,10.0,271
556,91.0,348
557,159.0,660
558,296.0,1958
559,208.0,1771
560,314.0,560
561,53.0,1937
562,173.0,413
563,209.0,250
564,290.0,1921
565,95.0,379
566,483.0,727
567,406.0,570
568,336.0,204
569,446.0,452
570,483.0,1448
571,123.0,317
572,467.0,888
573,160.0,1824
574,357.0,1817
575,243.0,1656
576,112.0,1434
577,323.0,975
578,167.0,976
579,411.0,283
580,336.0,1026
581,242.0,1558
582,320.0,261
583,434.0,715
584,397.0,983
585,16.0,1553
586,265.0,107
587,291.0,875
588,2.0,1902
589,467.0,1351
590,384.0,1771
591,108.0,1591
592,333.0,1919
593,347.0,1587
594,133.0,934
595,174.0,1757
596,50.0,80
597,231.0,1305
598,162.0,234
599,114.0,1936
600,424.0,868
601,175.0,1550
602,104.0,1109
603,422.0,1123
604,133.0,331
605,113.0,18
606,274.0,1305
607,71.0,1479
608,107.0,339
609,191.0,1203
610,357.0,731
611,259.0,844
612,451.0,1264
613,65.0,556
614,249.0,1969
615,130.0,1423
616,280.0,931
617,321.0,1585
618,373.0,57
619,413.0,1130
620,333.0,1186
621,414.0,560
622,286.0,1758
623,19.0,498
624,33.0,1274
625,347.0,1232
626,369.0,766
627,140.0,532
628,49.0,1420
629,440.0,415
630,218.0,355
631,290.0,350
632,492.0,23
633,277.0,375
634,125.0,1539
635,34.0,355
636,395.0,88
637,165.0,923
638,366.0,1753
639,405.0,1657
640,213.0,403
641,189.0,1080
642,107.0,1063
643,366.0,1549
644,424.0,1744
645,145.0,1078
646,18.0,1673
647,442.0,139
648,217.0,1888
649,173.0,1497
650,294.0,26
651,189.0,441
652,466.0,1136
653,407.0,301
654,194.0,393
655,122.0,799
656,101.0,1362
657,420.0,990
658,209.0,254
659,495.0,162
660,222.0,934
661,192.0,1229
662,251.0,1109
663,379.0,1169
664,493.0,1464
665,71.0,1836
666,117.0,981
667,467.0,1051
668,33.0,631
669,334.0,1561
670,230.0,1019
671,394.0,1984
672,447.0,1401
673,311.0,660
674,255.0,854
675,58.0,1367
676,461.0,1789
677,442.0,327
678,102.0,979
679,338.0,1692
680,238.0,1516
681,373.0,719
682,187.0,1267
683,347.0,79
684,136.0,782
685,108.0,411
686,432.0,1043
687,477.0,1033
688,270.0,192
689,331.0,1803
690,257.0,912
691,247.0,194
692,188.0,799
693,461.0,720
694,459.0,1910
695,41.0,1173
696,50.0,1215
697,387.0,1549
698,493.0,989
699,30.0,260
700,462.0,1542
701,84.0,808
702,355.0,96
703,336.0,579
704,299.0,338
705,26.0,1541
706,495.0,450
707,48.0,1927
708,27.0,600
709,436.0,409
710,56.0,759
711,456.0,1722
712,442.0,1278
713,59.0,852
714,21.0,1906
715,257.0,913
716,453.0,34
717,352.0,758
718,159.0,1631
719,442.0,181
720,355.0,155
721,179.0,1126
722,147.0,1650
723,368.0,1887
724,322.0,1281
725,464.0,930
726,124.0,441
727,253.0,864
728,242.0,894
729,363.0,756
730,465.0,1347
731,56.0,1825
732,479.0,838
733,476.0,227
734,271.0,305
735,280.0,923
736,54.0,808
737,355.0,371
738,48.0,453
739,361.0,300
740,42.0,465
741,358.0,1233
742,461.0,74
743,496.0,1895
744,261.0,62
745,250.0,1307
746,431.0,835
747,43.0,1489
748,322.0,1302
749,481.0,1816
750,454.0,1577
751,331.0,195
752,220.0,150
753,357.0,1986
754,203.0,1046
755,125.0,1699
756,398.0,1453
757,477.0,355
758,449.0,337
759,146.0,1823
760,328.0,1671
761,79.0,1236
762,405.0,817
763,349.0,647
764,346.0,561
765,336.0,1599
766,454.0,72
767,338.0,781
768,312.0,717
769,96.0,1977
770,413.0,1154
771,91.0,855
772,315.0,1640
773,455.0,43
774,15.0,1441
775,256.0,154
776,7.0,1496
777,50.0,661
778,41.0,1772
779,353.0,1261
780,396.0,766
781,111.0,319
782,55.0,1940
783,312.0,1117
784,468.0,1133
785,173.0,1225
786,246.0,966
787,141.0,1517
788,66.0,614
789,342.0,1587
790,251.0,997
791,375.0,1315
792,152.0,411
793,444.0,1894
794,496.0,293
795,367.0,1535
796,169.0,1514
797,96.0,959
798,48.0,1950
799,4.0,1032
800,81.0,1254
801,265.0,1166
802,444.0,985
803,312.0,952
804,481.0,369
805,207.0,184
806,111.0,1524
807,482.0,1397
808,490.0,1044
809,185.0,1127
810,241.0,610
811,488.0,894
812,293.0,1979
813,136.0,729
814,58.0,370
815,166.0,451
816,75.0,433
817,290.0,1230
818,156.0,653
819,55.0,605
820,368.0,1572
821,259.0,1408
822,303.0,323
823,476.0,1053
824,258.0,379
825,203.0,1511
826,413.0,1629
827,62.0,1641
828,146.0,607
829,141.0,1521
830,343.0,1265
831,20.0,659
832,58.0,468
833,253.0,542
834,392.0,1615
835,120.0,1209
836,7.0,951
837,463.0,1660
838,166.0,412
839,373.0,1464
840,241.0,1750
841,157.0,1103
842,26.0,1942
843,63.0,710
844,279.0,1695
845,379.0,10
846,382.0,1157
847,415.0,1980
848,299.0,1596
849,332.0,819
850,18.0,1529
851,183.0,1214
852,65.0,286
853,247.0,1934
854,422.0,1782
855,289.0,685
856,391.0,1453
857,306.0,1446
858,277.0,902
859,50.0,1283
860,461.0,1379
861,465.0,855
862,10.0,1768
863,467.0,601
864,481.0,1570
865,179.0,51
866,490.0,1368
867,15.0,1314
868,92.0,433
869,200.0,581
870,76.0,211
871,43.0,909
872,383.0,13
873,309.0,105
874,440.0,1821
875,38.0,130
876,116.0,1347
877,57.0,1699
878,61.0,1330
879,270.0,79
880,373.0,126
881,76.0,54
882,233.0,558
883,1.0,1871
884,281.0,236
885,379.0,279
886,299.0,1292
887,429.0,881
888,333.0,78
889,272.0,334
890,10.0,989
891,456.0,1186
892,182.0,1058
893,457.0,537
894,80.0,569
895,492.0,1273
896,308.0,579
897,372.0,1811
898,153.0,1582
899,208.0,265
900,409.0,70
901,98.0,612
902,288.0,1069
903,424.0,1320
904,52.0,620
905,350.0,815
906,220.0,280
907,236.0,1630
908,23.0,1441
909,126.0,1295
910,84.0,213
911,324.0,967
912,322.0,1950
913,205.0,426
914,40.0,751
915,333.0,856
916,90.0,1691
917,342.0,279
918,479.0,682
919,19.0,1151
920,395.0,542
921,334.0,943
922,445.0,523
923,60.0,1813
924,442.0,1756
925,193.0,879
926,299.0,1992
927,194.0,1232
928,249.0,1402
929,113.0,426
930,78.0,973
931,190.0,920
932,477.0,1146
933,87.0,750
934,358.0,1811
935,79.0,295
936,30.0,1795
937,59.0,698
938,155.0,363
939,388.0,1142
940,82.0,1436
941,464.0,1011
942,207.0,1516
943,340.0,1571
944,279.0,411
945,418.0,74
946,118.0,265
947,76.0,1929
948,367.0,372
949,226.0,1921
950,160.0,1016
951,477.0,952
952,57.0,540
953,420.0,1145
954,82.0,1867
955,41.0,701
956,386.0,237
957,321.0,1804
958,269.0,815
959,91.0,682
960,98.0,1721
961,14.0,680
962,272.0,289
963,286.0,478
964,439.0,1967
965,92.0,1214
966,300.0,570
967,97.0,564
968,16.0,1290
969,306.0,186
970,67.0,284
971,392.0,1723
972,185.0,687
973,277.0,1121
974,407.0,1326
975,151.0,1113
976,186.0,646
977,274.0,1693
978,275.0,992
979,123.0,1450
980,295.0,1906
981,309.0,690
982,16.0,1493
983,328.0,986
984,339.0,1689
985,83.0,1916
986,442.0,1716
987,288.0,796
988,444.0,1172
989,380.0,896
990,115.0,1871
991,275.0,1773
992,238.0,994
993,383.0,733
994,19.0,1792
995,141.0,810
996,108.0,1842
997,434.0,1928
998,420.0,72
999,389.0,146
1000,77.0,1703
1,,286
2,,297
3,,301
4,,310
5,,757
6,,747
7,,903
8,,1878
9,,388
10,,294
11,,1096
12,,1784
13,,54
14,,314
15,,930
16,,1185
17,,1780
18,,391
19,,1807
20,,1855
21,,31
22,,1592
23,,312
24,,1684
25,,1495
26,,1520
27,,829
28,,1289
29,,1410
30,,965
31,,1612
32,,1480
33,,243
34,,384
35,,957
36,,744
37,,1237
38,,60
39,,1075
40,,299
41,,49
42,,1128
43,,474
44,,692
45,,1657
46,,1085
47,,1985
48,,486
49,,357
50,,202
