id_transaccion,id_cliente,id_producto,monto,fecha,id_tienda,edad,ingresos,puntos_lealtad,pais,cliente_premium,categoria_monto,stock,precio,estado_stock,utilidad_estimada,registros_api,ultimo_registro_api,fuente_api,producto_web,precio_web,disponibilidad_web,rating_web,fuente_web,logs_total,logs_error,logs_timeout,tiempo_promedio_ms,origen_integrado
27,122,27,1854,2026-01-15,10,61,19814,597,México,No,Medio,0,829.0,Sin stock,1025.0,0,0,Sin API,Producto web demo 27,201.25,In stock,Three,Demo local,2000.0,681.0,650.0,405.71,CSV + JSON + TXT + API REST + Web Scraping
28,99,28,1668,2025-05-19,6,57,31827,2198,México,Sí,Medio,0,1289.0,Sin stock,379.0,1,98,Demo local,Producto web demo 28,205.0,In stock,Four,Demo local,2000.0,681.0,650.0,405.71,CSV + JSON + TXT + API REST + Web Scraping
29,434,29,3414,2026-02-25,5,34,37937,2827,USA,Sí,Alto,0,1410.0,Sin stock,2004.0,0,0,Sin API,Producto web demo 29,208.75,In stock,Five,Demo local,2000.0,681.0,650.0,405.71,CSV + JSON + TXT + API REST + Web Scraping
30,634,30,1583,2025-11-10,7,61,46650,1776,México,Sí,Medio,0,965.0,Sin stock,618.0,0,0,Sin API,Producto web demo 30,212.5,In stock,One,Demo local,2000.0,681.0,650.0,405.71,CSV + JSON + TXT + API REST + Web Scraping
31,611,31,2085,2026-02-09,3,38,22073,2739,México,Sí,Alto,0,1612.0,Sin stock,473.0,0,0,Sin API,Producto web demo 31,216.25,In stock,Two,Demo local,2000.0,681.0,650.0,405.71,CSV + JSON + TXT + API REST + Web Scraping
32,878,32,4975,2026-03-12,10,48,27583,2663,México,Sí,Alto,0,1480.0,Sin stock,3495.0,0,0,Sin API,Producto web demo 32,220.0,In stock,Three,Demo local,2000.0,681.0,650.0,405.71,CSV + JSON + TXT + API REST + Web Scraping
33,394,33,1252,2025-06-22,4,36,36365,2915,México,Sí,Medio,0,243.0,Sin stock,1009.0,0,0,Sin API,Producto web demo 33,223.75,In stock,Four,Demo local,2000.0,681.0,650.0,405.71,CSV + JSON + TXT + API REST + Web Scraping
34,111,34,1461,2025-06-09,6,23,43946,2787,México,Sí,Medio,0,384.0,Sin stock,1077.0,0,0,Sin API,Producto web demo 34,227.5,In stock,Five,Demo local,2000.0,681.0,650.0,405.71,CSV + JSON + TXT + API REST + Web Scraping
35,849,35,4155,2025-12-31,4,37,5964,1284,USA,Sí,Alto,0,957.0,Sin stock,3198.0,0,0,Sin API,Producto web demo 35,231.25,In stock,One,Demo local,2000.0,681.0,650.0,405.71,CSV + JSON + TXT + API REST + Web Scraping
36,522,36,2196,2025-10-05,4,47,9778,2584,México,Sí,Alto,0,744.0,Sin stock,1452.0,0,0,Sin API,Producto web demo 36,235.0,In stock,Two,Demo local,2000.0,681.0,650.0,405.71,CSV + JSON + TXT + API REST + Web Scraping
37,420,37,370,2026-03-11,8,44,21877,1157,USA,Sí,Bajo,0,1237.0,Sin stock,-867.0,0,0,Sin API,Producto web demo 37,238.75,In stock,Three,Demo local,2000.0,681.0,650.0,405.71,CSV + JSON + TXT + API REST + Web Scraping
38,41,38,4994,2026-02-22,2,64,19419,860,México,No,Alto,0,60.0,Sin stock,4934.0,1,40,Demo local,Producto web demo 38,242.5,In stock,Four,Demo local,2000.0,681.0,650.0,405.71,CSV + JSON + TXT + API REST + Web Scraping
39,945,39,2207,2026-02-21,7,30,38925,1855,México,Sí,Alto,0,1075.0,Sin stock,1132.0,0,0,Sin API,Producto web demo 39,246.25,In stock,Five,Demo local,2000.0,681.0,650.0,405.71,CSV + JSON + TXT + API REST + Web Scraping
40,569,40,4658,2025-09-25,4,40,20433,1559,México,Sí,Alto,0,299.0,Sin stock,4359.0,0,0,Sin API,Producto web demo 40,250.0,In stock,One,Demo local,2000.0,681.0,650.0,405.71,CSV + JSON + TXT + API REST + Web Scraping
41,459,41,3720,2026-03-16,7,45,6750,1749,México,Sí,Alto,0,49.0,Sin stock,3671.0,0,0,Sin API,Producto web demo 41,253.75,In stock,Two,Demo local,2000.0,681.0,650.0,405.71,CSV + JSON + TXT + API REST + Web Scraping
42,412,42,3917,2025-08-20,4,19,23465,1787,México,Sí,Alto,0,1128.0,Sin stock,2789.0,0,0,Sin API,Producto web demo 42,257.5,In stock,Three,Demo local,2000.0,681.0,650.0,405.71,CSV + JSON + TXT + API REST + Web Scraping
43,601,43,454,2026-02-01,4,38,5630,575,México,No,Bajo,0,474.0,Sin stock,-20.0,0,0,Sin API,Producto web demo 43,261.25,In stock,Four,Demo local,2000.0,681.0,650.0,405.71,CSV + JSON + TXT + API REST + Web Scraping
44,652,44,1177,2025-08-22,7,34,41797,2639,USA,Sí,Medio,0,692.0,Sin stock,485.0,0,0,Sin API,Producto web demo 44,265.0,In stock,Five,Demo local,2000.0,681.0,650.0,405.71,CSV + JSON + TXT + API REST + Web Scraping
45,713,45,143,2026-04-16,5,24,46730,1112,México,Sí,Bajo,0,1657.0,Sin stock,-1514.0,0,0,Sin API,Producto web demo 45,268.75,In stock,One,Demo local,2000.0,681.0,650.0,405.71,CSV + JSON + TXT + API REST + Web Scraping
46,905,46,4789,2025-11-24,10,62,38493,2849,México,Sí,Alto,0,1085.0,Sin stock,3704.0,0,0,Sin API,Producto web demo 46,272.5,In stock,Two,Demo local,2000.0,681.0,650.0,405.71,CSV + JSON + TXT + API REST + Web Scraping
47,780,47,1179,2025-12-21,7,50,24134,1786,USA,Sí,Medio,0,1985.0,Sin stock,-806.0,0,0,Sin API,Producto web demo 47,276.25,In stock,Three,Demo local,2000.0,681.0,650.0,405.71,CSV + JSON + TXT + API REST + Web Scraping
48,486,48,1003,2026-01-22,6,27,40105,2289,México,Sí,Medio,0,486.0,Sin stock,517.0,0,0,Sin API,Producto web demo 48,280.0,In stock,Four,Demo local,2000.0,681.0,650.0,405.71,CSV + JSON + TXT + API REST + Web Scraping
49,284,49,3532,2026-03-03,8,18,28950,1304,México,Sí,Alto,0,357.0,Sin stock,3175.0,0,0,Sin API,Producto web demo 49,283.75,In stock,Five,Demo local,2000.0,681.0,650.0,405.71,CSV + JSON + TXT + API REST + Web Scraping
50,813,50,2259,2025-10-26,4,58,9545,2937,México,Sí,Alto,0,202.0,Sin stock,2057.0,0,0,Sin API,Producto web demo 50,287.5,In stock,One,Demo local,2000.0,681.0,650.0,405.71,CSV + JSON + TXT + API REST + Web Scraping
51,509,51,761,2026-02-20,2,41,45104,375,México,No,Medio,0,1644.0,Sin stock,-883.0,0,0,Sin API,Producto web demo 51,291.25,In stock,Two,Demo local,2000.0,681.0,650.0,405.71,CSV + JSON + TXT + API REST + Web Scraping
52,430,52,1548,2026-01-06,5,52,13669,298,México,No,Medio,0,356.0,Sin stock,1192.0,0,0,Sin API,Producto web demo 52,295.0,In stock,Three,Demo local,2000.0,681.0,650.0,405.71,CSV + JSON + TXT + API REST + Web Scraping
53,344,53,4253,2025-10-08,4,45,42134,633,USA,No,Alto,0,664.0,Sin stock,3589.0,0,0,Sin API,Producto web demo 53,298.75,In stock,Four,Demo local,2000.0,681.0,650.0,405.71,CSV + JSON + TXT + API REST + Web Scraping
54,381,54,3264,2026-04-17,6,53,6522,2088,México,Sí,Alto,0,1734.0,Sin stock,1530.0,0,0,Sin API,Producto web demo 54,302.5,In stock,Five,Demo local,2000.0,681.0,650.0,405.71,CSV + JSON + TXT + API REST + Web Scraping
55,523,55,2243,2025-10-30,6,28,35564,2650,México,Sí,Alto,0,1286.0,Sin stock,957.0,0,0,Sin API,Producto web demo 55,306.25,In stock,One,Demo local,2000.0,681.0,650.0,405.71,CSV + JSON + TXT + API REST + Web Scraping
56,276,56,1336,2025-06-01,4,34,21112,384,México,No,Medio,0,1642.0,Sin stock,-306.0,0,0,Sin API,Producto web demo 56,310.0,In stock,Two,Demo local,2000.0,681.0,650.0,405.71,CSV + JSON + TXT + API REST + Web Scraping
57,919,57,2171,2026-01-08,8,41,8035,2189,México,Sí,Alto,0,414.0,Sin stock,1757.0,0,0,Sin API,Producto web demo 57,313.75,In stock,Three,Demo local,2000.0,681.0,650.0,405.71,CSV + JSON + TXT + API REST + Web Scraping
58,471,58,1360,2025-08-04,1,31,38686,1054,México,Sí,Medio,0,1107.0,Sin stock,253.0,0,0,Sin API,Producto web demo 58,317.5,In stock,Four,Demo local,2000.0,681.0,650.0,405.71,CSV + JSON + TXT + API REST + Web Scraping
59,119,59,4991,2025-11-09,10,54,33147,2785,México,Sí,Alto,0,438.0,Sin stock,4553.0,0,0,Sin API,Producto web demo 59,321.25,In stock,Five,Demo local,2000.0,681.0,650.0,405.71,CSV + JSON + TXT + API REST + Web Scraping
60,680,60,1143,2026-03-08,9,58,45476,2920,México,Sí,Medio,0,1795.0,Sin stock,-652.0,0,0,Sin API,Producto web demo 60,325.0,In stock,One,Demo local,2000.0,681.0,650.0,405.71,CSV + JSON + TXT + API REST + Web Scraping
61,560,61,2964,2026-03-07,10,20,12758,1943,México,Sí,Alto,0,1902.0,Sin stock,1062.0,0,0,Sin API,Sin producto web,0.0,Sin dato,Sin rating,Sin web scraping,2000.0,681.0,650.0,405.71,CSV + JSON + TXT + API REST + Web Scraping
62,701,62,4224,2025-06-10,1,40,28671,1506,USA,Sí,Alto,0,1793.0,Sin stock,2431.0,0,0,Sin API,Sin producto web,0.0,Sin dato,Sin rating,Sin web scraping,2000.0,681.0,650.0,405.71,CSV + JSON + TXT + API REST + Web Scraping
63,477,63,3613,2026-05-03,1,33,11252,562,México,No,Alto,0,1982.0,Sin stock,1631.0,0,0,Sin API,Sin producto web,0.0,Sin dato,Sin rating,Sin web scraping,2000.0,681.0,650.0,405.71,CSV + JSON + TXT + API REST + Web Scraping
64,770,64,4048,2026-02-20,7,38,42260,241,México,No,Alto,0,1832.0,Sin stock,2216.0,0,0,Sin API,Sin producto web,0.0,Sin dato,Sin rating,Sin web scraping,2000.0,681.0,650.0,405.71,CSV + JSON + TXT + API REST + Web Scraping
65,977,65,4161,2026-05-06,1,45,27090,32,México,No,Alto,0,649.0,Sin stock,3512.0,0,0,Sin API,Sin producto web,0.0,Sin dato,Sin rating,Sin web scraping,2000.0,681.0,650.0,405.71,CSV + JSON + TXT + API REST + Web Scraping
66,842,66,4811,2026-04-24,9,28,24230,689,México,No,Alto,0,221.0,Sin stock,4590.0,0,0,Sin API,Sin producto web,0.0,Sin dato,Sin rating,Sin web scraping,2000.0,681.0,650.0,405.71,CSV + JSON + TXT + API REST + Web Scraping
67,715,67,3749,2026-02-24,2,41,40761,933,México,No,Alto,0,21.0,Sin stock,3728.0,0,0,Sin API,Sin producto web,0.0,Sin dato,Sin rating,Sin web scraping,2000.0,681.0,650.0,405.71,CSV + JSON + TXT + API REST + Web Scraping
68,75,68,4959,2025-11-17,2,61,44284,2553,México,Sí,Alto,0,1838.0,Sin stock,3121.0,1,74,Demo local,Sin producto web,0.0,Sin dato,Sin rating,Sin web scraping,2000.0,681.0,650.0,405.71,CSV + JSON + TXT + API REST + Web Scraping
69,848,69,1348,2025-09-18,4,54,43349,484,México,No,Medio,0,108.0,Sin stock,1240.0,0,0,Sin API,Sin producto web,0.0,Sin dato,Sin rating,Sin web scraping,2000.0,681.0,650.0,405.71,CSV + JSON + TXT + API REST + Web Scraping
70,933,70,3751,2025-11-28,10,28,5541,214,USA,No,Alto,0,1559.0,Sin stock,2192.0,0,0,Sin API,Sin producto web,0.0,Sin dato,Sin rating,Sin web scraping,2000.0,681.0,650.0,405.71,CSV + JSON + TXT + API REST + Web Scraping
71,152,71,3799,2026-01-15,4,60,8588,1616,México,Sí,Alto,0,1280.0,Sin stock,2519.0,0,0,Sin API,Sin producto web,0.0,Sin dato,Sin rating,Sin web scraping,2000.0,681.0,650.0,405.71,CSV + JSON + TXT + API REST + Web Scraping
72,752,72,1741,2025-12-27,8,54,21417,964,México,No,Medio,0,1009.0,Sin stock,732.0,0,0,Sin API,Sin producto web,0.0,Sin dato,Sin rating,Sin web scraping,2000.0,681.0,650.0,405.71,CSV + JSON + TXT + API REST + Web Scraping
73,73,73,519,2025-12-08,6,31,34878,2292,México,Sí,Medio,0,1247.0,Sin stock,-728.0,1,72,Demo local,Sin producto web,0.0,Sin dato,Sin rating,Sin web scraping,2000.0,681.0,650.0,405.71,CSV + JSON + TXT + API REST + Web Scraping
74,531,74,2342,2025-10-27,9,65,45874,2186,México,Sí,Alto,0,417.0,Sin stock,1925.0,0,0,Sin API,Sin producto web,0.0,Sin dato,Sin rating,Sin web scraping,2000.0,681.0,650.0,405.71,CSV + JSON + TXT + API REST + Web Scraping
75,61,75,2082,2025-07-25,1,62,47690,1210,México,Sí,Alto,0,1446.0,Sin stock,636.0,1,60,Demo local,Sin producto web,0.0,Sin dato,Sin rating,Sin web scraping,2000.0,681.0,650.0,405.71,CSV + JSON + TXT + API REST + Web Scraping
76,461,76,3489,2025-11-29,1,23,25018,213,USA,No,Alto,0,546.0,Sin stock,2943.0,0,0,Sin API,Sin producto web,0.0,Sin dato,Sin rating,Sin web scraping,2000.0,681.0,650.0,405.71,CSV + JSON + TXT + API REST + Web Scraping
77,553,77,4932,2026-05-14,6,60,16125,2775,México,Sí,Alto,0,1213.0,Sin stock,3719.0,0,0,Sin API,Sin producto web,0.0,Sin dato,Sin rating,Sin web scraping,2000.0,681.0,650.0,405.71,CSV + JSON + TXT + API REST + Web Scraping
78,810,78,3134,2026-04-04,8,57,22688,120,México,No,Alto,0,916.0,Sin stock,2218.0,0,0,Sin API,Sin producto web,0.0,Sin dato,Sin rating,Sin web scraping,2000.0,681.0,650.0,405.71,CSV + JSON + TXT + API REST + Web Scraping
79,899,79,4981,2025-10-24,6,54,41273,896,México,No,Alto,0,548.0,Sin stock,4433.0,0,0,Sin API,Sin producto web,0.0,Sin dato,Sin rating,Sin web scraping,2000.0,681.0,650.0,405.71,CSV + JSON + TXT + API REST + Web Scraping
80,210,80,4799,2025-07-26,9,34,44130,1779,USA,Sí,Alto,0,1010.0,Sin stock,3789.0,0,0,Sin API,Sin producto web,0.0,Sin dato,Sin rating,Sin web scraping,2000.0,681.0,650.0,405.71,CSV + JSON + TXT + API REST + Web Scraping
81,666,81,4106,2025-05-20,6,64,5335,845,USA,No,Alto,0,200.0,Sin stock,3906.0,0,0,Sin API,Sin producto web,0.0,Sin dato,Sin rating,Sin web scraping,2000.0,681.0,650.0,405.71,CSV + JSON + TXT + API REST + Web Scraping
82,206,82,1673,2026-05-12,6,46,25056,2521,México,Sí,Medio,0,1995.0,Sin stock,-322.0,0,0,Sin API,Sin producto web,0.0,Sin dato,Sin rating,Sin web scraping,2000.0,681.0,650.0,405.71,CSV + JSON + TXT + API REST + Web Scraping
83,962,83,1123,2025-07-17,2,19,5657,2234,México,Sí,Medio,0,1728.0,Sin stock,-605.0,0,0,Sin API,Sin producto web,0.0,Sin dato,Sin rating,Sin web scraping,2000.0,681.0,650.0,405.71,CSV + JSON + TXT + API REST + Web Scraping
84,614,84,994,2026-01-25,7,18,6911,2546,USA,Sí,Medio,0,40.0,Sin stock,954.0,0,0,Sin API,Sin producto web,0.0,Sin dato,Sin rating,Sin web scraping,2000.0,681.0,650.0,405.71,CSV + JSON + TXT + API REST + Web Scraping
85,24,85,2273,2026-01-12,1,55,48661,1837,México,Sí,Alto,0,724.0,Sin stock,1549.0,1,23,Demo local,Sin producto web,0.0,Sin dato,Sin rating,Sin web scraping,2000.0,681.0,650.0,405.71,CSV + JSON + TXT + API REST + Web Scraping
86,838,86,3011,2026-03-09,8,63,47727,1941,USA,Sí,Alto,0,1691.0,Sin stock,1320.0,0,0,Sin API,Sin producto web,0.0,Sin dato,Sin rating,Sin web scraping,2000.0,681.0,650.0,405.71,CSV + JSON + TXT + API REST + Web Scraping
87,518,87,4747,2025-11-28,6,49,18793,823,México,No,Alto,0,1017.0,Sin stock,3730.0,0,0,Sin API,Sin producto web,0.0,Sin dato,Sin rating,Sin web scraping,2000.0,681.0,650.0,405.71,CSV + JSON + TXT + API REST + Web Scraping
88,964,88,2332,2025-12-16,10,19,44200,273,México,No,Alto,0,1543.0,Sin stock,789.0,0,0,Sin API,Sin producto web,0.0,Sin dato,Sin rating,Sin web scraping,2000.0,681.0,650.0,405.71,CSV + JSON + TXT + API REST + Web Scraping
89,981,89,1821,2026-01-01,4,35,13197,910,USA,No,Medio,0,1188.0,Sin stock,633.0,0,0,Sin API,Sin producto web,0.0,Sin dato,Sin rating,Sin web scraping,2000.0,681.0,650.0,405.71,CSV + JSON + TXT + API REST + Web Scraping
90,258,90,1175,2026-05-09,6,20,32647,1773,México,Sí,Medio,0,332.0,Sin stock,843.0,0,0,Sin API,Sin producto web,0.0,Sin dato,Sin rating,Sin web scraping,2000.0,681.0,650.0,405.71,CSV + JSON + TXT + API REST + Web Scraping
91,181,91,905,2025-08-25,8,35,13328,551,México,No,Medio,0,1146.0,Sin stock,-241.0,0,0,Sin API,Sin producto web,0.0,Sin dato,Sin rating,Sin web scraping,2000.0,681.0,650.0,405.71,CSV + JSON + TXT + API REST + Web Scraping
92,555,92,464,2025-12-23,10,24,29633,938,México,No,Bajo,0,540.0,Sin stock,-76.0,0,0,Sin API,Sin producto web,0.0,Sin dato,Sin rating,Sin web scraping,2000.0,681.0,650.0,405.71,CSV + JSON + TXT + API REST + Web Scraping
93,811,93,3311,2025-06-14,9,39,14665,1670,México,Sí,Alto,0,1101.0,Sin stock,2210.0,0,0,Sin API,Sin producto web,0.0,Sin dato,Sin rating,Sin web scraping,2000.0,681.0,650.0,405.71,CSV + JSON + TXT + API REST + Web Scraping
94,701,94,1258,2025-05-29,9,40,28671,1506,USA,Sí,Medio,0,1337.0,Sin stock,-79.0,0,0,Sin API,Sin producto web,0.0,Sin dato,Sin rating,Sin web scraping,2000.0,681.0,650.0,405.71,CSV + JSON + TXT + API REST + Web Scraping
95,962,95,536,2025-09-21,9,19,5657,2234,México,Sí,Medio,0,865.0,Sin stock,-329.0,0,0,Sin API,Sin producto web,0.0,Sin dato,Sin rating,Sin web scraping,2000.0,681.0,650.0,405.71,CSV + JSON + TXT + API REST + Web Scraping
96,733,96,3691,2025-12-22,1,49,30426,2645,México,Sí,Alto,0,551.0,Sin stock,3140.0,0,0,Sin API,Sin producto web,0.0,Sin dato,Sin rating,Sin web scraping,2000.0,681.0,650.0,405.71,CSV + JSON + TXT + API REST + Web Scraping
97,171,97,4136,2026-02-08,8,27,35971,2001,México,Sí,Alto,0,1581.0,Sin stock,2555.0,0,0,Sin API,Sin producto web,0.0,Sin dato,Sin rating,Sin web scraping,2000.0,681.0,650.0,405.71,CSV + JSON + TXT + API REST + Web Scraping
98,532,98,3272,2025-08-06,7,37,15076,298,México,No,Alto,0,221.0,Sin stock,3051.0,0,0,Sin API,Sin producto web,0.0,Sin dato,Sin rating,Sin web scraping,2000.0,681.0,650.0,405.71,CSV + JSON + TXT + API REST + Web Scraping
99,33,99,4789,2026-05-14,10,45,17625,868,México,No,Alto,0,936.0,Sin stock,3853.0,1,32,Demo local,Sin producto web,0.0,Sin dato,Sin rating,Sin web scraping,2000.0,681.0,650.0,405.71,CSV + JSON + TXT + API REST + Web Scraping
100,740,100,2686,2025-07-18,2,18,11912,892,México,No,Alto,0,1383.0,Sin stock,1303.0,0,0,Sin API,Sin producto web,0.0,Sin dato,Sin rating,Sin web scraping,2000.0,681.0,650.0,405.71,CSV + JSON + TXT + API REST + Web Scraping
101,350,101,3511,2025-08-21,1,20,40739,2006,México,Sí,Alto,0,1048.0,Sin stock,2463.0,0,0,Sin API,Sin producto web,0.0,Sin dato,Sin rating,Sin web scraping,2000.0,681.0,650.0,405.71,CSV + JSON + TXT + API REST + Web Scraping
102,342,102,4788,2026-04-13,7,64,8378,1254,USA,Sí,Alto,133,161.0,Disponible,4627.0,0,0,Sin API,Sin producto web,0.0,Sin dato,Sin rating,Sin web scraping,2000.0,681.0,650.0,405.71,CSV + JSON + TXT + API REST + Web Scraping
103,281,103,2387,2025-11-28,7,65,47329,2192,USA,Sí,Alto,264,279.0,Disponible,2108.0,0,0,Sin API,Sin producto web,0.0,Sin dato,Sin rating,Sin web scraping,2000.0,681.0,650.0,405.71,CSV + JSON + TXT + API REST + Web Scraping
104,703,104,463,2026-02-09,5,29,21492,1237,México,Sí,Bajo,362,879.0,Disponible,-416.0,0,0,Sin API,Sin producto web,0.0,Sin dato,Sin rating,Sin web scraping,2000.0,681.0,650.0,405.71,CSV + JSON + TXT + API REST + Web Scraping
105,423,105,496,2026-01-24,1,30,39430,1886,USA,Sí,Bajo,490,195.0,Disponible,301.0,0,0,Sin API,Sin producto web,0.0,Sin dato,Sin rating,Sin web scraping,2000.0,681.0,650.0,405.71,CSV + JSON + TXT + API REST + Web Scraping
